Iterations,Value,Algorithm,FileID
3000000,1690.40176,shadeils,2
120000,107648.1436,ERDGshadeils,2
300000,77025.4372,ERDGshadeils,2
600000,7201.9775199999995,ERDGshadeils,2
900000,3503.37664,ERDGshadeils,2
1200000,1687.44412,ERDGshadeils,2
1500000,1074.331436,ERDGshadeils,2
1800000,826.2254919999999,ERDGshadeils,2
2100000,567.353504,ERDGshadeils,2
2400000,403.43114,ERDGshadeils,2
2700000,316.197936,ERDGshadeils,2
3000000,229.151524,ERDGshadeils,2
120000,21.4014192,shade,3
300000,21.2791728,shade,3
600000,21.156828,shade,3
900000,21.051054,shade,3
1200000,20.950712,shade,3
1500000,20.8494956,shade,3
1800000,20.7565168,shade,3
2100000,20.669417600000003,shade,3
2400000,20.590906,shade,3
2700000,20.5179112,shade,3
3000000,20.4527544,shade,3
120000,21.4008632,ERDGshade,3
300000,21.2832884,ERDGshade,3
600000,21.1570504,ERDGshade,3
900000,21.048338400000002,ERDGshade,3
1200000,20.9476924,ERDGshade,3
1500000,20.8461764,ERDGshade,3
1800000,20.755240399999998,ERDGshade,3
2100000,20.6648672,ERDGshade,3
2400000,20.5832352,ERDGshade,3
2700000,20.5141976,ERDGshade,3
3000000,20.45002,ERDGshade,3
120000,20.127547200000002,shadeils,3
300000,20.0812076,shadeils,3
600000,20.0650388,shadeils,3
900000,20.056171199999998,shadeils,3
1200000,20.0519464,shadeils,3
1500000,20.050380399999998,shadeils,3
1800000,20.0469248,shadeils,3
2100000,20.0455536,shadeils,3
2400000,20.0450676,shadeils,3
2700000,20.0443464,shadeils,3
3000000,20.0437664,shadeils,3
120000,20.1372836,ERDGshadeils,3
300000,20.0681288,ERDGshadeils,3
600000,20.0534444,ERDGshadeils,3
900000,20.0504088,ERDGshadeils,3
1200000,20.049265600000002,ERDGshadeils,3
1500000,20.0447004,ERDGshadeils,3
1800000,20.0446216,ERDGshadeils,3
2100000,20.0437904,ERDGshadeils,3
2400000,20.0424288,ERDGshadeils,3
2700000,20.0402976,ERDGshadeils,3
3000000,20.0398368,ERDGshadeils,3
120000,70983426000.0,shade,4
300000,19152622400.0,shade,4
600000,8215692360.0,shade,4
900000,4780147840.0,shade,4
1200000,3472494520.0,shade,4
1500000,2676337960.0,shade,4
1800000,2196150604.0,shade,4
2100000,1948869212.0,shade,4
2400000,1749528884.0,shade,4
2700000,1644290060.0,shade,4
3000000,1568292812.0,shade,4
120000,29043439200000.0,ERDGshade,4
300000,28910601200000.0,ERDGshade,4
600000,27050383920000.0,ERDGshade,4
900000,247253828000.0,ERDGshade,4
1200000,212692260000.0,ERDGshade,4
1500000,171676768000.0,ERDGshade,4
1800000,120627380400.0,ERDGshade,4
2100000,82519351600.0,ERDGshade,4
2400000,48488806800.0,ERDGshade,4
2700000,25105680400.0,ERDGshade,4
3000000,3937790000.0,ERDGshade,4
120000,35075520800.0,shadeils,4
300000,11180067320.0,shadeils,4
600000,4656168600.0,shadeils,4
900000,2976849676.0,shadeils,4
1200000,2239513804.0,shadeils,4
1500000,1934796296.0,shadeils,4
1800000,1605158972.0,shadeils,4
2100000,1426339188.0,shadeils,4
2400000,1400839392.0,shadeils,4
2700000,1364934920.0,shadeils,4
3000000,1297085172.0,shadeils,4
120000,15347618704000.0,ERDGshadeils,4
300000,216681296400.0,ERDGshadeils,4
600000,90112984240.0,ERDGshadeils,4
900000,13819299240.0,ERDGshadeils,4
1200000,5064694280.0,ERDGshadeils,4
1500000,3850520916.0,ERDGshadeils,4
1800000,2516604716.0,ERDGshadeils,4
2100000,1304685836.0,ERDGshadeils,4
2400000,1015578944.0,ERDGshadeils,4
2700000,767892608.0,ERDGshadeils,4
3000000,484425476.0,ERDGshadeils,4
120000,4933864.56,shade,5
300000,3535322.48,shade,5
600000,2821548.64,shade,5
900000,2475467.44,shade,5
1200000,2283885.32,shade,5
1500000,2183369.24,shade,5
1800000,2112040.32,shade,5
2100000,2057185.48,shade,5
2400000,2016990.76,shade,5
2700000,1982232.56,shade,5
3000000,1953789.32,shade,5
120000,69659398.8,ERDGshade,5
300000,66293257.6,ERDGshade,5
600000,20481660.8,ERDGshade,5
900000,9597501.52,ERDGshade,5
1200000,9581405.6,ERDGshade,5
1500000,9565653.2,ERDGshade,5
1800000,9544635.92,ERDGshade,5
2100000,9528532.8,ERDGshade,5
2400000,9512566.84,ERDGshade,5
2700000,9500801.2,ERDGshade,5
3000000,8957006.0,ERDGshade,5
120000,2354281.88,shadeils,5
300000,2073223.32,shadeils,5
600000,1746189.48,shadeils,5
900000,1626649.8,shadeils,5
1200000,1578771.56,shadeils,5
1500000,1537190.0,shadeils,5
1800000,1516934.4,shadeils,5
2100000,1482395.96,shadeils,5
2400000,1442461.96,shadeils,5
2700000,1425546.2,shadeils,5
3000000,1419076.56,shadeils,5
120000,9794904.08,ERDGshadeils,5
300000,9681211.68,ERDGshadeils,5
600000,7853640.8,ERDGshadeils,5
900000,7546381.08,ERDGshadeils,5
1200000,6635965.04,ERDGshadeils,5
1500000,6215265.92,ERDGshadeils,5
1800000,5500478.36,ERDGshadeils,5
2100000,4984450.08,ERDGshadeils,5
2400000,4069376.8,ERDGshadeils,5
2700000,3819547.56,ERDGshadeils,5
3000000,3462082.52,ERDGshadeils,5
120000,1062930.6,shade,6
300000,1061542.64,shade,6
600000,1059965.44,shade,6
900000,1059147.0,shade,6
1200000,1058652.0,shade,6
1500000,1058133.44,shade,6
1800000,1057654.64,shade,6
2100000,1057222.24,shade,6
2400000,1056697.12,shade,6
2700000,1056370.76,shade,6
3000000,1056042.44,shade,6
120000,1071716.32,ERDGshade,6
300000,1071716.12,ERDGshade,6
600000,1071716.0,ERDGshade,6
900000,1071715.88,ERDGshade,6
1200000,1071715.88,ERDGshade,6
1500000,1071715.84,ERDGshade,6
1800000,1071715.72,ERDGshade,6
2100000,1066036.24,ERDGshade,6
2400000,1060206.6,ERDGshade,6
2700000,1060206.08,ERDGshade,6
3000000,1057993.0,ERDGshade,6
120000,1051756.28,shadeils,6
300000,1047609.92,shadeils,6
600000,1045343.72,shadeils,6
900000,1044375.56,shadeils,6
1200000,1043278.76,shadeils,6
1500000,1042568.4,shadeils,6
1800000,1041921.48,shadeils,6
2100000,1041774.48,shadeils,6
2400000,1041210.64,shadeils,6
2700000,1040461.6,shadeils,6
3000000,1040251.56,shadeils,6
120000,1071855.52,ERDGshadeils,6
300000,1071855.04,ERDGshadeils,6
600000,1065211.48,ERDGshadeils,6
900000,1063235.28,ERDGshadeils,6
1200000,1063120.72,ERDGshadeils,6
1500000,1061138.36,ERDGshadeils,6
1800000,1061138.36,ERDGshadeils,6
2100000,1060193.6,ERDGshadeils,6
2400000,1059562.84,ERDGshadeils,6
2700000,1059533.04,ERDGshadeils,6
3000000,1059155.56,ERDGshadeils,6
120000,298569548.0,shade,7
300000,64829604.8,shade,7
600000,20501576.0,shade,7
900000,12060888.0,shade,7
1200000,9054299.32,shade,7
1500000,7747273.0,shade,7
1800000,6642905.36,shade,7
2100000,6200016.96,shade,7
2400000,5931714.24,shade,7
2700000,5716132.48,shade,7
3000000,5603817.48,shade,7
120000,2586149264000000.0,ERDGshade,7
300000,380112722800000.0,ERDGshade,7
600000,139027689600000.0,ERDGshade,7
900000,541151016.8,ERDGshade,7
1200000,540560046.8,ERDGshade,7
1500000,539978022.4,ERDGshade,7
1800000,539303488.4,ERDGshade,7
2100000,538732457.2,ERDGshade,7
2400000,538161683.6,ERDGshade,7
2700000,537554430.4,ERDGshade,7
3000000,372167400.0,ERDGshade,7
120000,676240276.0,shadeils,7
300000,140902346.4,shadeils,7
600000,24146438.28,shadeils,7
900000,3713294.4239999996,shadeils,7
1200000,905533.056,shadeils,7
1500000,166908.5812,shadeils,7
1800000,64396.134000000005,shadeils,7
2100000,29004.35956,shadeils,7
2400000,12858.75078,shadeils,7
2700000,5002.477468,shadeils,7
3000000,1489.7568976,shadeils,7
120000,422731441860.0,ERDGshadeils,7
300000,3953418300.0,ERDGshadeils,7
600000,1054968988.0,ERDGshadeils,7
900000,552231396.0,ERDGshadeils,7
1200000,169979170.0,ERDGshadeils,7
1500000,42807037.96,ERDGshadeils,7
1800000,20198391.56,ERDGshadeils,7
2100000,7887950.28,ERDGshadeils,7
2400000,1474022.7968000001,ERDGshadeils,7
2700000,231364.30399999997,ERDGshadeils,7
3000000,25240.401319999997,ERDGshadeils,7
120000,66854667600000.0,shade,8
300000,13348929840000.0,shade,8
600000,4148889348000.0,shade,8
900000,1425943412000.0,shade,8
1200000,703775900000.0,shade,8
1500000,524393924000.0,shade,8
1800000,439691444000.0,shade,8
2100000,354539744000.0,shade,8
2400000,243403832000.0,shade,8
2700000,218583233200.0,shade,8
3000000,193262409600.0,shade,8
120000,1.54690064e+18,ERDGshade,8
300000,1.54690064e+18,ERDGshade,8
600000,1.476076784e+17,ERDGshade,8
900000,131203786800000.0,ERDGshade,8
1200000,108668904400000.0,ERDGshade,8
1500000,105638446400000.0,ERDGshade,8
1800000,105638157200000.0,ERDGshade,8
2100000,105278464000000.0,ERDGshade,8
2400000,105277018800000.0,ERDGshade,8
2700000,105277008400000.0,ERDGshade,8
3000000,324917500000000.0,ERDGshade,8
120000,218788851200000.0,shadeils,8
300000,46817489520000.0,shadeils,8
600000,15653838840000.0,shadeils,8
900000,8677690760000.0,shadeils,8
1200000,7058810040000.0,shadeils,8
1500000,5561829440000.0,shadeils,8
1800000,4334833580000.0,shadeils,8
2100000,3965235560000.0,shadeils,8
2400000,3551173920000.0,shadeils,8
2700000,3230736480000.0,shadeils,8
3000000,2784363056000.0,shadeils,8
120000,6609064880000000.0,ERDGshadeils,8
300000,6581540276000000.0,ERDGshadeils,8
600000,270453972000000.0,ERDGshadeils,8
900000,270371024000000.0,ERDGshadeils,8
1200000,90805036000000.0,ERDGshadeils,8
1500000,55733857200000.0,ERDGshadeils,8
1800000,50308987120000.0,ERDGshadeils,8
2100000,39434582880000.0,ERDGshadeils,8
2400000,28460195240000.0,ERDGshadeils,8
2700000,23868530280000.0,ERDGshadeils,8
3000000,19708817160000.0,ERDGshadeils,8
120000,448002156.0,shade,9
