900000, 13, 5.410697e+08
1200000, 13, 2.491673e+08
1500000, 13, 1.949319e+08
1800000, 13, 1.702548e+08
2100000, 13, 1.287714e+08
2400000, 13, 1.132208e+08
2700000, 13, 1.015746e+08
3000000, 13, 9.684359e+07
120000, 13, 1.225440e+10
300000, 13, 2.158739e+09
600000, 13, 8.636902e+08
900000, 13, 4.085868e+08
1200000, 13, 2.534771e+08
1500000, 13, 2.197887e+08
1800000, 13, 1.599051e+08
2100000, 13, 1.418081e+08
2400000, 13, 1.311294e+08
2700000, 13, 1.270466e+08
3000000, 13, 1.235255e+08
120000, 13, 1.095363e+10
300000, 13, 3.742357e+09
600000, 13, 9.048331e+08
900000, 13, 7.066416e+08
1200000, 13, 4.153093e+08
1500000, 13, 2.504075e+08
1800000, 13, 2.067022e+08
2100000, 13, 1.765355e+08
2400000, 13, 1.443882e+08
2700000, 13, 1.319752e+08
3000000, 13, 1.273909e+08
120000, 13, 5.416905e+09
300000, 13, 1.660125e+09
600000, 13, 8.164320e+08
900000, 13, 3.921035e+08
1200000, 13, 1.868310e+08
1500000, 13, 1.136777e+08
1800000, 13, 8.758317e+07
2100000, 13, 6.368838e+07
2400000, 13, 5.716527e+07
2700000, 13, 4.935621e+07
3000000, 13, 4.587934e+07
120000, 13, 1.139444e+10
300000, 13, 3.164169e+09
600000, 13, 9.190033e+08
900000, 13, 4.853128e+08
1200000, 13, 3.790633e+08
1500000, 13, 3.038358e+08
1800000, 13, 2.616882e+08
2100000, 13, 2.513728e+08
2400000, 13, 2.256497e+08
2700000, 13, 1.780666e+08
3000000, 13, 1.697616e+08
120000, 13, 5.380261e+09
300000, 13, 1.981098e+09
600000, 13, 8.826012e+08
900000, 13, 6.478755e+08
1200000, 13, 4.918140e+08
1500000, 13, 3.348452e+08
1800000, 13, 1.945657e+08
2100000, 13, 1.167789e+08
2400000, 13, 9.099140e+07
2700000, 13, 6.003742e+07
3000000, 13, 5.368981e+07
120000, 13, 1.046441e+10
300000, 13, 4.061803e+09
600000, 13, 1.758551e+09
900000, 13, 9.477435e+08
1200000, 13, 4.346019e+08
1500000, 13, 2.329871e+08
1800000, 13, 1.746788e+08
2100000, 13, 1.190688e+08
2400000, 13, 1.052284e+08
2700000, 13, 9.687175e+07
3000000, 13, 9.391211e+07
120000, 13, 9.204961e+09
300000, 13, 3.765793e+09
600000, 13, 1.449050e+09
900000, 13, 8.725299e+08
1200000, 13, 5.418730e+08
1500000, 13, 2.135888e+08
1800000, 13, 1.540124e+08
2100000, 13, 1.200943e+08
2400000, 13, 9.551721e+07
2700000, 13, 8.673472e+07
3000000, 13, 7.493357e+07
120000, 13, 6.975985e+09
300000, 13, 2.418296e+09
600000, 13, 7.744077e+08
900000, 13, 4.449592e+08
1200000, 13, 2.755594e+08
1500000, 13, 2.358982e+08
1800000, 13, 2.054693e+08
2100000, 13, 1.558059e+08
2400000, 13, 1.424927e+08
2700000, 13, 1.306487e+08
3000000, 13, 1.168937e+08
